ArraySize,HybridSort,MergeSort
341,1.453458000000012,1.5340830000000096
342,1.5962920000000054,1.7362919999999917
343,1.6347089999999866,1.703875000000039
344,1.5290830000000142,1.626291999999978
345,1.526457999999991,1.6237499999999727
346,1.6050410000000284,1.7082090000000107
347,1.564833999999962,1.73924999999997
348,1.7119159999999738,1.769207999999992
349,1.60450000000003,1.6879999999999882
350,1.686791000000028,1.7937499999999886
351,1.6580409999999688,1.7637909999999124
352,1.713124999999991,1.8448339999999916
353,1.6274580000001038,1.6329999999999245
354,1.7138330000000224,1.7859579999999369
355,1.735416999999984,1.8272080000000415
356,1.6571670000000722,1.8282079999999041
357,1.765957999999955,1.8166660000000547
358,1.8010419999999385,1.899332999999956
359,1.6610409999999547,1.7492500000000746
360,1.7192079999999805,1.875709000000029
361,1.8265410000000202,1.8857920000000377
362,1.8787080000000742,1.9396250000000919
363,1.787417000000005,1.907583000000045
364,1.7340000000000373,1.8659579999999778
365,1.8516250000000127,1.916834000000108
366,1.814083000000096,1.8993750000000773
367,1.7532909999999902,1.8286249999999882
368,1.831666000000041,1.94175000000007
369,1.8239999999998417,1.9847499999999627
370,1.9397500000000036,1.994374999999991
371,1.8124589999999898,1.8919160000000375
372,1.827541999999994,1.9277080000000524
373,1.9275410000000193,2.1188750000000027
374,1.9207079999999905,1.9939170000000104
375,1.8093330000000378,1.9209999999999354
376,1.9393749999999272,2.0266670000002023
377,1.9077079999999569,2.1102500000000646
378,1.9421250000000327,2.029083000000014
379,1.839083999999957,1.9160000000000537
380,1.938250000000039,2.0000840000000153
381,1.8591670000000704,2.0125840000000608
382,2.0628749999999627,2.1417089999999916
383,2.008542000000034,2.0927919999999176
384,1.9778330000000324,2.1040839999999434
385,1.9917080000001306,2.153500000000008
386,2.020958999999948,2.1071249999999964
387,1.9408750000001191,2.0557909999999993
388,1.9562910000000784,2.043583000000126
389,2.144375000000082,2.2174170000000686
390,2.1403750000000628,2.2100000000000364
391,2.1460409999999683,2.242832999999905
392,2.1049580000000105,2.244833999999969
393,2.1513749999999163,2.2686250000000427
394,2.019542000000115,2.109542000000033
395,2.076791000000071,2.1762919999999895
396,2.112082999999984,2.3085419999999885
397,2.149665999999911,2.1728329999999687
398,2.074124999999867,2.175083000000086
399,2.2395830000000387,2.392749999999978
